1, 0.04, 0.55, 53
1, 0.39, 0.6, 41
1, 0.28, 0.56, 35
1, 0.25, 0.55, 92
1, 0.71, 0.57, 60
1, 0.59, 0.54, 38
1, 0.39, 0.96, 85
1, 0.18, 0.13, 40
2, 0.82, 0.58, 92
2, 0.78, 0.98, 6
2, 0.0, 0.97, 1
2, 0.19, 0.36, 90
2, 0.42, 0.31, 57
2, 0.48, 0.36, 21
2, 0.89, 0.2, 55
2, 0.3, 0.19, 38
3, 0.3, 1.0, 36
3, 0.8, 0.85, 67
3, 0.45, 0.75, 40
3, 0.31, 0.0, 95
3, 0.17, 0.19, 35
3, 0.07, 0.15, 24
3, 0.06, 0.66, 30
3, 0.31, 0.74, 38
4, 0.33, 0.25, 34
4, 0.32, 0.84, 94
4, 0.01, 0.09, 4
4, 0.78, 0.05, 49
4, 0.2, 0.69, 58
4, 0.65, 0.7, 87
4, 0.75, 0.36, 92
4, 0.83, 0.89, 65
5, 0.27, 0.83, 75
5, 0.8, 0.55, 70
5, 0.78, 0.67, 23
5, 0.77, 0.54, 30
5, 0.78, 0.67, 35
5, 0.27, 0.78, 82
5, 0.42, 0.23, 34
5, 0.84, 0.75, 17
6, 0.38, 0.06, 40
6, 0.9, 0.97, 30
6, 0.14, 0.44, 60
6, 0.49, 0.67, 28
6, 0.03, 0.27, 64
6, 0.54, 0.74, 15
6, 0.76, 0.02, 44
6, 0.86, 0.34, 53
7, 0.78, 0.4, 45
7, 0.24, 0.51, 16
7, 0.08, 0.45, 55
7, 0.67, 0.59, 29
7, 0.74, 0.31, 54
7, 0.48, 0.92, 88
7, 0.21, 1.0, 6
7, 0.72, 0.83, 87
8, 0.85, 0.4, 29
8, 0.78, 0.36, 13
8, 0.54, 0.98, 54
8, 0.38, 0.14, 8
8, 0.92, 0.24, 16
8, 0.27, 0.35, 88
8, 0.49, 0.47, 89
8, 0.33, 0.36, 14
